search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep
MyCoverGenius,com.shipafrika.roro,myRORO,Ship Afrika LLC,"1,000+",21.0,3,4.5454545,Business,False
Redcare HMO,shop.shop_apotheke.com.shopapotheke,Shop Apotheke: E-Rezept App,Shop-Apotheke B.V.,"5,000,000+",478910.0,2,4.7777777,Medical,False
Roding Healthcare,com.who_phc,Primary Health Care,World Health Organization,"10,000+",51.0,2,4.125,Medical,False
International Energy Insurance,com.imih.innergy,Innergy:Meditation & Wellbeing,Institute for Meditation and Inner Harmony,"100,000+",3772.0,2,4.75,Health & Fitness,False
Great Nigeria Insurance,au.com.nab.mobile,NAB Mobile Banking,NAB,"5,000,000+",72675.0,2,4.775,Finance,False
Reliance Health HMO,com.healthnomics.app,Healthnomics HMO Mobile,Health Insurance,50+,,0,,Health & Fitness,False
Total Health Trust,com.alarmnet.tc2,Total Connect 2.0,"Resideo Technologies, Inc.","1,000,000+",,0,,Lifestyle,False
Novo Health Africa,com.novoinsure.eb,Novo insure,Cover Me Technology Private Limited,100+,,0,,Finance,False
Novo Health Africa,com.healthx.app,HealthX Africa,HEALTHEX AFRICA LIMITED,"10,000+",,0,,Medical,False
AIICO Multishield,com.switch.essential,Switch Essential Plus,Axiom by Tradeling,"5,000+",,0,,Health & Fitness,False
Integrated Healthcare Nigeria,imchospital.com.pk.imc,Integrated Medical Care,Contech International,"1,000+",,0,,Health & Fitness,False
Greenbay HMO,com.subsplashconsulting.s_3RR5N3,Green Bay XA,Northeast Wisconsin Chi Alpha,50+,,0,,Lifestyle,False
Greenbay HMO,com.hmo.aspire,Aspire HMO,Health Insurance,10+,,0,,Health & Fitness,False
Greenbay HMO,com.crownjewelhmo.mobile,Crown Jewel HMO,Crown Jewel HMO,500+,,0,,Health & Fitness,False
Anchor HMO,com.hmo.ashmed,Ashmed HMO,Health Insurance,100+,,0,,Health & Fitness,False
Princeton Health Nigeria,ai.mxlabs.shenHealth,Shen Health,Shen.AI,"1,000+",,0,,Health & Fitness,False
United Healthcare International Nigeria,com.uhg.mobile.uhcglobal,UHC Global,"UNITED HEALTHCARE SERVICES, INC.","50,000+",,0,,Health & Fitness,False
United Healthcare International Nigeria,com.itf.united,My United org,IT-Fusion,500+,,0,,Medical,False
United Healthcare International Nigeria,com.united.uic,The United Insurance,The United Insurance Company,"10,000+",,0,,Finance,False
Prepaid Medicare,com.pmg.publicmedicare,Public Medicare,PMG HEALTHCARE SDN BHD,"10,000+",,0,,Lifestyle,False
Prepaid Medicare,net.medicarebd.app,Medicare,medicarebd Dev,"1,000+",,0,,Medical,False
Prepaid Medicare,com.quest.hmo,Quest Medicare,Health Insurance,50+,,0,,Health & Fitness,False
Prepaid Medicare,hms.custom.m1.prepaidPortal,M1 Prepaid,M1 Limited,"500,000+",,0,,Productivity,False
Songhai Health Trust,com.healthassurMobile.app,Healthassur Mobile,Health Insurance,500+,,0,,Health & Fitness,False
Wellness HMO Nigeria,dot.hmo2.mobile,Dot HMO Mobile,DOT HMO,"1,000+",,0,,Health & Fitness,False
Venus Medicare,com.medm.fleming.health,Medicare LifeSense,Fleming Medical,"10,000+",,0,,Medical,False
Venus Medicare,gov.va.mobileapp,VA: Health and Benefits,US Department of Veterans Affairs (VA),"1,000,000+",110012.0,0,4.8333335,Tools,False
Police Health Maintenance,com.hg.titp,This Is the Police,HandyGames,"100,000+",,0,,Simulation,False
Police Health Maintenance,com.crrepa.band.policelifestyle,POLICE FOT,International Luxury Group,"10,000+",,0,,Health & Fitness,False
