search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep,role
International Energy Insurance,com.imih.innergy,Innergy:Meditation & Wellbeing,Institute for Meditation and Inner Harmony,"100,000+",3772.0,2,4.75,Health & Fitness,False,not_ng_insurance
Great Nigeria Insurance,au.com.nab.mobile,NAB Mobile Banking,NAB,"5,000,000+",72675.0,2,4.775,Finance,False,not_ng_insurance
Avon HMO,com.oplayer.avonsmart,AVON SMART V2,Smart-Wearables,"500,000+",,0,,Health & Fitness,False,not_ng_insurance
Avon Healthcare,com.logezy.avonHealthcare,Avon Healthcare,Logezy,500+,,0,,Business,False,not_ng_insurance
Anchor HMO,com.jrmoynihan99.anchor,Anchor | Fight Lust Together,Jason Moynihan,100+,,0,,Social,False,not_ng_insurance
Princeton Health Nigeria,uk.co.glassboxx.princeton,Princeton University Press,Glassboxx,"5,000+",,0,,Education,False,not_ng_insurance
Venus Medicare,com.venushospital.patientApp,Venus Patient Connect,SMT RASILABEN SEVANTILAL SHAH VENUS HOSPITAL,100+,,0,,Medical,False,not_ng_insurance
Marina Medical HMO,com.perfectgym.perfectgymgo2.marinahealthleisure,Marina Health & Leisure,PERFECT GYM SOLUTIONS SP. Z O. O.,100+,,0,,Health & Fitness,False,not_ng_insurance
Salus Trust,io.salussafety.salus,SALUS,Salus Technologies Inc,"10,000+",,0,,Business,False,not_ng_insurance
Salus Trust,com.amplisoftware.salusTele,Salus,Amplisoftware Tecnologia LTDA,100+,,0,,Health & Fitness,False,not_ng_insurance
Salus Trust,com.salus.health,Salus Health App,SalusHealth,100+,,0,,Health & Fitness,False,not_ng_insurance
Mediplan Healthcare,com.app.mediplan.mediplan,MediPlan,Minderse,500+,,0,,Health & Fitness,False,not_ng_insurance
AIICO Insurance,com.aiico.insurego,InsureGO,AIICO Insurance Plc,100+,,0,,Finance,False,consumer
Coronation Insurance,com.coronation.mobile,CoronationMB Mobile,CORONATION MERCHANT BANK,"1,000+",,0,,Finance,False,not_ng_insurance
Mutual Benefits Assurance,com.mobile.mutualbenefits,Mutual Benefits,"Generations Gold, Inc.",500+,,0,,Lifestyle,False,not_ng_insurance
Linkage Assurance,com.linkageassuranceplc.app,LinkageProtect,Linkage Assurance Plc,100+,,0,,Finance,False,consumer
Guinea Insurance,hobbiton.gari_client_app,Gari Motor Insurance,Hobbiton,"10,000+",,0,,Finance,False,consumer
Prestige Assurance,com.prestige.prestige_customer_app,Prestige Assurance Customer,Teesofttech,50+,,0,,Business,False,consumer
Prestige Assurance,com.prestige.agent,Prestige Assurance Agent,Teesofttech,10+,,0,,Business,False,agent_or_provider
Anchor Insurance Nigeria,com.anchor.insurance,Anchor Insurance,Anchor Insurance,100+,,0,,Finance,False,consumer
Anchor Insurance Nigeria,dev.khaldoun.anchor,Anchor,dev.MealTime,100+,,0,,Productivity,False,not_ng_insurance
Veritas Kapital Assurance,com.VeritasCapitalFundManagement.ahapp,Veritas Capital App,"Veritas Capital Fund Management, L.L.C.",50+,,0,,Business,False,not_ng_insurance
SUNU Assurances Nigeria,com.sunu.mysunu,MySUNU Assurances,SUNU DIGITECH,"50,000+",,0,,Finance,False,consumer
SUNU Assurances Nigeria,com.mysunu.bank,MySUNU Bank,SUNU DIGITECH,"10,000+",,0,,Finance,False,not_ng_insurance
Royal Exchange Insurance,com.royalexchange.regic,Royal Exchange,MBR Computer Consultants,100+,,0,,Finance,False,consumer
KBL Insurance,com.lcode.kblmbank,KBL Mobile Plus,KARNATAKA BANK,"1,000,000+",,0,,Finance,False,not_ng_insurance
